user_id,age_segment,gender,city,degree_online_engagement
1bb03ef4-124f-4ac7-aa91-0a79fbcf17d0,12to18,Female,india,highly_active
0b0ed8db-f04a-4dd6-a067-024d4654a007,35to50,Male,india,moderately_active
d23d71b5-1bd3-4683-93aa-9bd9124b5c96,35to50,Female,world,moderately_active
009591b8-6973-4b70-88ce-5a28a3d11d08,35to50,Female,world,highly_active
db9b51af-8ab7-4918-860d-b4c2b92210dd,12to18,Female,others,less_active
57389fee-8ec1-4553-8c8f-a233239d0fc5,35to50,Female,bihar,highly_active
83247657-d232-42f8-abc6-5611418fdf0b,12to18,Female,world,highly_active
0e366023-4c27-40e1-ad88-7adadc714248,25to35,Male,bangalore,less_active
fb1aef49-4da4-4899-b7e6-c6b0764786ab,12to18,Male,us,highly_active
cd5ca988-3032-4d1e-aa59-c45c5b88c606,35to50,Female,others,moderately_active
97a42933-3fae-4b90-8b03-bf11d7260277,25to35,Male,us,less_active
19caec7e-4090-4cbb-bfc1-731004eee765,35to50,Female,us,highly_active
ea6f32a5-14ff-439f-87bb-b825ba62deec,12to18,Female,world,highly_active
2517830d-163b-4aca-87fa-523de57f319c,35to50,Male,hyderabad,highly_active
eab1424e-6f10-4402-aa37-3c350c23ebdc,12to18,Male,others,moderately_active
9e4aff8a-679b-47f8-b4a5-7bf73d88590e,12to18,Female,world,moderately_active
2f8a12ae-e5f5-417d-bb27-b99ae6d419dd,35to50,Female,india,moderately_active
8d032034-56fe-4c94-a245-fcfbb20dfc63,35to50,Male,india,moderately_active
cfde33bf-ed2f-4997-aae1-234174c7161d,12to18,Female,others,moderately_active
3bb492ca-7614-4d81-b58c-dbacd0b3972b,18to25,Female,others,moderately_active
b38a1fd6-db95-41c9-b45c-8fb1230a4639,18to25,Female,world,highly_active
86cc499f-4368-44ed-b8f4-7b6305910c69,12to18,Female,world,moderately_active
65cdd12c-92e5-45e7-878a-13919a50d1a5,25to35,Male,india,less_active
215ed3cc-cb7d-4bac-a743-db92bb261bc6,25to35,Female,world,moderately_active
571d9502-c7d6-4aa1-b4c0-5a2197adbd6d,35to50,Female,kerala,moderately_active
26e14b94-2b17-4cf1-bc1f-e5b93b248f30,35to50,Male,hyderabad,moderately_active
048ddfd4-ee51-488d-b07d-cb3145ce8399,35to50,Female,world,highly_active
de1e424c-a0a9-409f-a0cb-e1e6fcf6e094,12to18,Male,world,moderately_active
79d325b8-7af2-4eea-8105-cf6d207ca64c,12to18,Male,world,moderately_active
2b51e78a-20cd-4e84-8e6c-3f493ebc47bb,12to18,Male,world,less_active
b4e1ca9f-1c44-4fea-919e-51a7be01d68c,18to25,Female,others,less_active
81769c49-794e-4d81-a7eb-26c9e73b27a2,35to50,Female,hyderabad,moderately_active
74708eb0-86f4-494d-83aa-f2248c71acb9,35to50,Female,world,highly_active
4641a0a3-f651-4a9d-9d1e-155a0053ab54,35to50,Female,hyderabad,highly_active
1f4f3090-cd09-4167-91c5-1f86c4ff4c9e,50to70,Male,others,less_active
05818dcb-c5bc-4f08-b027-a777728d7258,18to25,Female,us,highly_active
c9e51170-dae4-4e68-bd0e-99d96a567ce2,18to25,Male,world,less_active
08cc6fed-242d-46a6-8e10-810f07722595,35to50,Female,us,moderately_active
14066b76-2972-4b05-a12f-fd8da8d39ef6,12to18,Female,world,moderately_active
515db140-5db3-4f54-8bff-06aa9cfa5939,25to35,Male,others,highly_active
71627982-ddfd-4527-ad2f-4007a9a2f690,12to18,Male,world,moderately_active
57764c81-7a99-4af6-a344-e31821c4fc52,35to50,Female,india,moderately_active
7a290d66-8db9-4983-9441-ee643d1ab564,35to50,Male,hyderabad,highly_active
a015676f-1606-480b-9808-033441100830,25to35,Male,india,highly_active
68040063-afca-4992-bd3b-3877e7c77bd4,35to50,Male,india,less_active
d34a5615-f9cb-4882-b570-1ad76a527b50,35to50,Female,india,moderately_active
07653ef7-ade4-4d7e-a41e-d7c74b897f9f,35to50,Female,hyderabad,highly_active
0dadd64d-7b14-4227-933e-b88a18e10ace,35to50,Female,india,moderately_active
b024de80-7f6b-4bcd-a7b5-cc60aaf81ddd,35to50,Male,us,moderately_active
1a5b24b3-8955-40cf-a6ec-9b4785f26827,18to25,Female,world,moderately_active
0081a94b-e881-4cd0-a1b5-d7d636c5a6f8,35to50,Female,bihar,moderately_active
cfb2710d-154d-46ce-8b1c-1db08c772595,12to18,Female,world,less_active
c4f576df-1577-4093-bdff-7992cbc48403,18to25,Female,world,moderately_active
47b6a608-db76-43c2-8c39-86474e9d1a5a,25to35,Male,us,less_active
9833fc77-42ed-42ed-a33e-571617187a73,35to50,Female,au,moderately_active
bce7c9a0-9dfd-4d34-a38f-006f36b8cec2,35to50,Female,us,highly_active
2bb66fac-b77f-4b5d-ad17-6ad43cb5bc2d,25to35,Female,india,highly_active
9818571a-969f-47c2-a61b-711a9388e4d9,25to35,Male,india,moderately_active
2eee3fcc-56f0-4b09-b718-8fb38dd3e2fb,18to25,Male,others,moderately_active
80291655-dd12-4db2-92d0-53f6e351ca6c,35to50,Male,us,moderately_active
5b697736-0993-4352-90dd-32aee61ed788,12to18,Female,world,moderately_active
824c980d-9c94-4fcf-81b2-b7edefd73e80,50to70,Female,us,moderately_active
545a2ce2-6cc2-4d98-86aa-ca571711e5a4,35to50,Female,us,moderately_active
783eed9b-3f44-4d33-814d-d7326460afc4,18to25,Male,world,highly_active
e81c9d47-d27a-40b1-93a7-1198a5dd7adb,35to50,Male,bihar,moderately_active
6a7f8edc-f709-4ab7-8148-38cc4adacfa4,18to25,Female,world,moderately_active
6f0e2d8d-1e81-4d4c-945c-252ce7890263,12to18,Female,others,less_active
4bfd4878-7cf2-4702-b2c9-4cc011394b39,35to50,Male,india,moderately_active
fae0acc3-74ef-49c2-aca0-3471e49cd491,25to35,Female,others,moderately_active
0f27791a-066e-4a75-a680-a5694a96bee3,18to25,Male,us,highly_active
9d199a23-3ab5-43db-aed1-a95c6401511e,35to50,Male,india,highly_active
0524ec40-6df0-4e95-8fad-7fddfeec1ca6,12to18,Female,world,moderately_active
4f76ff8c-7efd-4922-9fed-41b6aa015219,25to35,Female,others,highly_active
698a2e64-0c81-468c-901f-956b200ab236,25to35,Male,others,less_active
f81dabce-094e-4d56-a855-c34b1926f869,18to25,Male,world,moderately_active
e98fcdbb-c4c6-4e8e-923c-dd2cf8935e93,18to25,Female,others,moderately_active
4edea0fe-cfe6-458b-841b-6099aae5e8c7,35to50,Female,india,moderately_active
905ebf26-5fac-4d88-924a-687a1de0f231,18to25,Female,india,less_active
64ca20cc-315b-42c5-91e3-95b908f3744e,18to25,Male,us,moderately_active
9ade511b-6940-411f-9623-b7a0bbab1ae6,18to25,Male,us,highly_active
